split,label,feature,mean,median,std,q25,q75,min,max
train,0,mean,0.5011075735092163,0.5022807121276855,0.03358564153313637,0.4930376335978508,0.5099926441907883,0.3018425405025482,0.7196072340011597
train,0,median,0.5011820793151855,0.501811683177948,0.02131621539592743,0.4958606958389282,0.5070340037345886,0.3309492766857147,0.7028118968009949
train,0,std,0.02193380519747734,0.0032235451508313417,0.02949368767440319,0.0005026232538511977,0.04576169326901436,8.166203770088032e-05,0.22576791048049927
train,0,min,0.4673411250114441,0.4971461892127991,0.06926503777503967,0.4848746955394745,0.5021166801452637,-0.028032999485731125,0.5111140012741089
train,0,max,0.5342237949371338,0.5053207278251648,0.07044463604688644,0.5002754628658295,0.5120300054550171,0.48914670944213867,1.118191123008728
train,0,range,0.06688269972801208,0.014495998620986938,0.08665675669908524,0.001983046531677246,0.13682971149683,0.00030499696731567383,0.6155128479003906
train,0,argmax,8.680900025568908,9.0,6.285436756635089,3.0,14.0,0.0,19.0
train,0,argmin,8.878547686013807,9.0,6.445993607271104,3.0,14.0,0.0,19.0
train,0,max_abs_diff,0.02043253555893898,0.011291980743408203,0.02441454492509365,0.001372992992401123,0.03203640878200531,0.00030499696731567383,0.28935402631759644
train,0,mean_abs_diff,0.0073629990220069885,0.0029391858261078596,0.008652388118207455,0.0005301582277752459,0.014077903935685754,8.010237070266157e-05,0.06521118432283401
train,0,sum_abs_diff,0.13989698886871338,0.05584453046321869,0.16439536213874817,0.01007300615310669,0.26748017221689224,0.0015219449996948242,1.2390124797821045
train,0,energy,5.071755409240723,5.045867919921875,0.6811109781265259,4.861818909645081,5.201855897903442,2.4224002361297607,10.887298583984375
train,0,number_of_local_maxima,4.521605727435438,5.0,2.526662947390107,2.0,7.0,0.0,9.0
train,0,number_of_local_minima,4.547174635643058,5.0,2.55719770595056,2.0,7.0,0.0,9.0
train,1,mean,0.499953031539917,0.49941468238830566,0.009686562232673168,0.49545717239379883,0.504328727722168,0.43788862228393555,0.5309840440750122
train,1,median,0.49988505244255066,0.49972742795944214,0.01096744742244482,0.494581401348114,0.5055667161941528,0.44675618410110474,0.545071005821228
train,1,std,0.04582618176937103,0.041029397398233414,0.019073549658060074,0.035172268748283386,0.04965700954198837,0.022022850811481476,0.16488464176654816
train,1,min,0.41763725876808167,0.42461100220680237,0.03387792035937309,0.4124239981174469,0.43501999974250793,0.18347099423408508,0.46550101041793823
train,1,max,0.5816585421562195,0.5734170079231262,0.03315149247646332,0.5640619993209839,0.5869500041007996,0.5335080027580261,0.7773799896240234
train,1,range,0.16402126848697662,0.14724698662757874,0.06394050270318985,0.13137900829315186,0.1701349914073944,0.08621200919151306,0.5705260038375854
train,1,argmax,7.355676185980647,7.0,1.9643384228878449,6.0,9.0,2.0,14.0
train,1,argmin,12.649988199197546,13.0,1.9878040050932113,11.0,14.0,6.0,19.0
train,1,max_abs_diff,0.05590822547674179,0.05050700902938843,0.022170979529619217,0.0434899628162384,0.05981498956680298,0.021209001541137695,0.18814101815223694
train,1,mean_abs_diff,0.018231099471449852,0.016593242064118385,0.00647364929318428,0.014892242848873138,0.01879797875881195,0.0080952113494277,0.060246001929044724
train,1,sum_abs_diff,0.3463909327983856,0.3152715861797333,0.12299934029579163,0.28295260667800903,0.35716158151626587,0.15380901098251343,1.1446740627288818
train,1,energy,5.050213813781738,5.02679967880249,0.1981070339679718,4.948154449462891,5.1459269523620605,4.317493915557861,5.806910514831543
train,1,number_of_local_maxima,2.603493037526552,3.0,1.0489402929951397,2.0,3.0,1.0,6.0
train,1,number_of_local_minima,2.6207222091102196,3.0,1.0398594463536428,2.0,3.0,1.0,5.0
validation,0,mean,0.4996272921562195,0.5014605522155762,0.034787967801094055,0.492618128657341,0.5097104460000992,0.2752498984336853,0.6369620561599731
validation,0,median,0.5001552104949951,0.5012924671173096,0.021994538605213165,0.4957076907157898,0.5072551071643829,0.329240620136261,0.6274791955947876
validation,0,std,0.02226930670440197,0.003353291656821966,0.030666228383779526,0.0004975634510628879,0.04668665677309036,0.00011708370584528893,0.20803028345108032
validation,0,min,0.46467262506484985,0.49663084745407104,0.07592114806175232,0.4819262698292732,0.5022276341915131,-0.05933874845504761,0.5111140012741089
validation,0,max,0.5323295593261719,0.5052998661994934,0.06720878928899765,0.5000496953725815,0.511424720287323,0.4896047115325928,0.9377371072769165
validation,0,range,0.06765692681074142,0.015258491039276123,0.08934695273637772,0.0019840002059936523,0.13791325688362122,0.0004569888114929199,0.5610503554344177
validation,0,argmax,8.436602870813397,8.0,6.232788737407937,2.0,14.0,0.0,19.0
validation,0,argmin,8.811004784688995,9.0,6.436210618397989,3.0,14.0,0.0,19.0
validation,0,max_abs_diff,0.020483266562223434,0.012055009603500366,0.024733850732445717,0.0013729855418205261,0.03165024518966675,0.00030499696731567383,0.2647368311882019
validation,0,mean_abs_diff,0.007425525691360235,0.0030196309089660645,0.008962335996329784,0.000521988476975821,0.014163729501888156,0.00010426107473904267,0.05790135636925697
validation,0,sum_abs_diff,0.14108498394489288,0.057372987270355225,0.17028439044952393,0.009917780756950378,0.26911086589097977,0.0019809603691101074,1.100125789642334
validation,0,energy,5.045479774475098,5.029631614685059,0.6775217056274414,4.853986978530884,5.196223139762878,2.38078236579895,8.473977088928223
validation,0,number_of_local_maxima,4.50299043062201,5.0,2.564944136963951,2.0,7.0,0.0,9.0
validation,0,number_of_local_minima,4.563397129186603,5.0,2.569754133453868,2.0,7.0,0.0,9.0
validation,1,mean,0.5016664862632751,0.5002217888832092,0.009092366322875023,0.49704889208078384,0.5051223933696747,0.4740529954433441,0.5302654504776001
validation,1,median,0.5015999674797058,0.5008077621459961,0.009536532685160637,0.49620699882507324,0.5057351738214493,0.4632109999656677,0.5271516442298889
validation,1,std,0.04440588876605034,0.039986975491046906,0.01959454081952572,0.03444955963641405,0.048290129750967026,0.023168692365288734,0.1372584104537964
validation,1,min,0.4206755459308624,0.4283060133457184,0.03420959413051605,0.41303399205207825,0.438159242272377,0.2716050148010254,0.4651910066604614
validation,1,max,0.581084668636322,0.5764560103416443,0.029193244874477386,0.5666559934616089,0.5850845128297806,0.5438219904899597,0.6980890035629272
validation,1,range,0.1604091227054596,0.1475529968738556,0.059960369020700455,0.12741002440452576,0.1684570014476776,0.0885009765625,0.42648398876190186
validation,1,argmax,7.5,7.0,2.0504747876196316,6.0,9.0,2.0,13.0
validation,1,argmin,12.662689804772235,13.0,2.0140764205603054,12.0,14.0,7.0,18.0
validation,1,max_abs_diff,0.05634037405252457,0.050659000873565674,0.017734140157699585,0.04516598582267761,0.0642399787902832,0.025940001010894775,0.1167290210723877
validation,1,mean_abs_diff,0.01807500049471855,0.01682327315211296,0.005891680251806974,0.014879371738061309,0.018947537057101727,0.009767124429345131,0.04376028850674629
validation,1,sum_abs_diff,0.34342503547668457,0.31964218616485596,0.11194191873073578,0.2827080562710762,0.3600032106041908,0.18557536602020264,0.8314454555511475
