mean,median,std,min,max,range,argmax,argmin,max_abs_diff,mean_abs_diff,sum_abs_diff,energy,number_of_local_maxima,number_of_local_minima,split,label
0.4967069,0.49580356,0.030522993,0.43991,0.561217,0.121307015,6,10,0.04608202,0.014103997,0.26797593,4.9529877,2,2,train,1
0.49784678,0.4944465,0.030232051,0.43991,0.561217,0.121307015,6,10,0.04608202,0.014499335,0.27548736,4.975309,3,3,train,1
0.49669152,0.49124894,0.030615507,0.43991,0.561217,0.121307015,5,9,0.04608202,0.014574945,0.27692395,4.952796,3,4,train,1
0.49667272,0.49150658,0.030800804,0.43991,0.561217,0.121307015,6,10,0.04608202,0.01519653,0.28873408,4.952649,4,4,train,1
0.50213075,0.50557244,0.030161735,0.43991,0.561217,0.121307015,12,16,0.04608202,0.0149851665,0.28471816,5.060901,3,4,train,1
0.5006785,0.500625,0.00038387717,0.499938,0.501464,0.0015259981,16,6,0.0010690093,0.00047389456,0.009003997,5.013582,6,6,train,0
0.50577486,0.505813,0.0004698645,0.504669,0.506652,0.001982987,19,0,0.001067996,0.0004898404,0.009306967,5.1161695,8,6,train,0
0.49970955,0.499633,0.00036912685,0.49887,0.500396,0.0015260279,5,13,0.0010680258,0.00035342888,0.0067151487,4.9941955,7,5,train,0
0.49691886,0.49228263,0.030453235,0.442191,0.560599,0.118408024,6,10,0.04577604,0.01352646,0.25700274,4.957116,2,2,train,1
0.5002625,0.5004761,0.030058427,0.442191,0.560599,0.118408024,11,15,0.04577604,0.014017889,0.2663399,5.023321,3,3,train,1
0.49965858,0.4990378,0.03017031,0.442191,0.560599,0.118408024,12,16,0.04577604,0.016197167,0.30774617,5.0113783,4,4,train,1
0.49268967,0.48238903,0.03134987,0.442191,0.560599,0.118408024,4,8,0.04577604,0.013091056,0.24873006,4.8745174,3,3,train,1
0.4972535,0.4980488,0.030773005,0.442191,0.560599,0.118408024,8,12,0.04577604,0.014216047,0.2701049,4.9641604,3,4,train,1
0.49827868,0.49883282,0.030290501,0.442191,0.560599,0.118408024,10,14,0.04577604,0.01434087,0.27247652,4.9839826,4,4,train,1
0.49710217,0.49494016,0.030310262,0.442191,0.560599,0.118408024,4,8,0.04577604,0.014299175,0.27168432,4.960586,3,2,train,1
0.49547833,0.489375,0.03056238,0.442191,0.560599,0.118408024,4,8,0.04577604,0.014246809,0.27068937,4.9286575,4,4,train,1
0.4952344,0.4868514,0.030720662,0.442191,0.560599,0.118408024,6,10,0.04577604,0.012652702,0.24040133,4.9240184,3,3,train,1
0.49751964,0.49610054,0.03032437,0.442191,0.560599,0.118408024,6,10,0.04577604,0.014021509,0.26640868,4.9689083,2,3,train,1
0.50969535,0.509741,0.00028595745,0.509131,0.510199,0.001067996,5,8,0.001067996,0.0003535277,0.0067170262,5.195788,7,6,train,0
0.5034938,0.503448,0.0005892918,0.502227,0.504516,0.0022889972,0,15,0.0012210011,0.00044984254,0.008547008,5.070127,5,6,train,0
0.50794804,0.50791,0.003558596,0.496313,0.51325,0.016936988,7,3,0.009918004,0.0037263632,0.0708009,5.1604786,5,5,train,0
0.4982981,0.4979545,0.00407667,0.492919,0.51123,0.018310994,7,4,0.0140379965,0.0049148453,0.09338206,4.9663525,7,7,train,0
0.5107175,0.510809,0.00021790373,0.510199,0.511114,0.0009149909,18,1,0.00060999393,0.00020873547,0.003965974,5.216649,7,5,train,0
0.5004269,0.50176954,0.008425621,0.476593,0.510467,0.033874005,8,10,0.03036502,0.008721474,0.165708,5.009959,6,7,train,0
0.50057936,0.500625,0.00040557235,0.499633,0.501312,0.0016790032,16,19,0.0010690093,0.00052221195,0.009922028,5.011597,8,8,train,0
0.51016825,0.510199,0.00024891645,0.509588,0.510657,0.0010690093,14,4,0.0006110072,0.00019289632,0.00366503,5.205436,7,5,train,0
0.50086915,0.500854,0.00042318547,0.500091,0.50177,0.0016790032,19,8,0.0012210011,0.00057831564,0.010987997,5.017403,7,8,train,0
0.5112821,0.511267,0.00028504,0.510809,0.511877,0.001067996,12,6,0.00060999393,0.00030510363,0.005796969,5.228187,6,6,train,0
0.5062021,0.506195,0.0003753278,0.505584,0.506958,0.0013740063,16,2,0.0010690093,0.00040963135,0.0077829957,5.1248155,7,6,train,0
0.48866025,0.496658,0.041790325,0.422729,0.558532,0.13580301,3,11,0.03646797,0.014557946,0.27660096,4.810704,2,2,train,1
0.48851952,0.496658,0.041743092,0.422729,0.558532,0.13580301,4,12,0.03646797,0.014273322,0.27119312,4.8078756,2,2,train,1
0.48827472,0.49583423,0.04168229,0.422729,0.558532,0.13580301,4,12,0.03646797,0.014462082,0.27477956,4.8029914,2,1,train,1
0.48872194,0.496658,0.041813858,0.422729,0.558532,0.13580301,4,12,0.03646797,0.014486368,0.275241,4.8119497,2,2,train,1
0.48855108,0.496658,0.041752905,0.422729,0.558532,0.13580301,3,11,0.03646797,0.014443056,0.27441806,4.8085084,2,2,train,1
0.48871636,0.496658,0.041811652,0.422729,0.558532,0.13580301,3,11,0.03646797,0.014616994,0.2777229,4.8118362,2,2,train,1
