feature,direction,threshold,train_balanced_accuracy,val_balanced_accuracy,val_accuracy
range,1,0.04374506510794163,0.8131552032728202,0.8148923444976077,0.7613723978411719
std,1,0.009088154591154307,0.8131552032728202,0.8151913875598087,0.761757902852737
max_abs_diff,1,0.0350232757627964,0.8620907262348404,0.8661266593322193,0.8430994602929838
energy,1,4.578980781137943,0.5818353666458933,0.5924043062200957,0.4745566692367001
