recurrence,train_balanced_accuracy,val_balanced_accuracy,train_accuracy,val_accuracy,delta_vs_off_val_BA
ON_locked_artifact,0.9680195839612159,0.9583233868540411,0.9702297039555519,0.964148033924441,0.28425697204952827
OFF_Wres_zero,0.7064856950799374,0.6740664148045128,0.6799900489261133,0.6572860447185813,0.0
